WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_AREA_TERRITORY,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,RSV
EUR,NH,NH,Russian Federation,2016-11-06,2016,45,2
EUR,NH,NH,Russian Federation,2016-11-13,2016,46,1
EUR,NH,NH,Russian Federation,2016-11-13,2016,46,0
EUR,NH,NH,Russian Federation,2016-11-20,2016,47,0
EUR,NH,NH,Russian Federation,2016-11-20,2016,47,0
EUR,NH,NH,Russian Federation,2016-11-27,2016,48,0
EUR,NH,NH,Russian Federation,2016-11-27,2016,48,3
EUR,NH,NH,Russian Federation,2016-12-04,2016,49,2
EUR,NH,NH,Russian Federation,2016-12-04,2016,49,0
EUR,NH,NH,Russian Federation,2016-12-11,2016,50,2
EUR,NH,NH,Russian Federation,2016-12-11,2016,50,0
EUR,NH,NH,Russian Federation,2016-12-18,2016,51,65
EUR,NH,NH,Russian Federation,2016-12-18,2016,51,0
EUR,NH,NH,Russian Federation,2016-12-25,2016,52,0
EUR,NH,NH,Russian Federation,2016-12-25,2016,52,0
EUR,NH,NH,Russian Federation,2017-01-01,2017,1,0
EUR,NH,NH,Russian Federation,2017-01-01,2017,1,0
EUR,NH,NH,Russian Federation,2017-01-08,2017,2,0
EUR,NH,NH,Russian Federation,2017-01-08,2017,2,1
EUR,NH,NH,Russian Federation,2017-01-15,2017,3,0
EUR,NH,NH,Russian Federation,2017-01-15,2017,3,3
EUR,NH,NH,Russian Federation,2017-01-22,2017,4,0
EUR,NH,NH,Russian Federation,2017-01-22,2017,4,0
EUR,NH,NH,Russian Federation,2017-01-29,2017,5,2
EUR,NH,NH,Russian Federation,2017-01-29,2017,5,0
EUR,NH,NH,Russian Federation,2017-02-05,2017,6,0
EUR,NH,NH,Russian Federation,2017-02-05,2017,6,0
EUR,NH,NH,Russian Federation,2017-02-12,2017,7,0
EUR,NH,NH,Russian Federation,2017-02-12,2017,7,0
EUR,NH,NH,Russian Federation,2017-02-19,2017,8,0
EUR,NH,NH,Russian Federation,2017-02-19,2017,8,0
EUR,NH,NH,Russian Federation,2017-02-26,2017,9,0
EUR,NH,NH,Russian Federation,2017-02-26,2017,9,0
EUR,NH,NH,Russian Federation,2017-03-05,2017,10,0
EUR,NH,NH,Russian Federation,2017-03-05,2017,10,0
EUR,NH,NH,Russian Federation,2017-03-12,2017,11,2
EUR,NH,NH,Russian Federation,2017-03-12,2017,11,0
EUR,NH,NH,Russian Federation,2017-03-19,2017,12,2
EUR,NH,NH,Russian Federation,2017-03-19,2017,12,0
EUR,NH,NH,Russian Federation,2017-03-26,2017,13,0
EUR,NH,NH,Russian Federation,2017-03-26,2017,13,1
EUR,NH,NH,Russian Federation,2017-04-02,2017,14,0
EUR,NH,NH,Russian Federation,2017-04-02,2017,14,0
EUR,NH,NH,Russian Federation,2017-04-09,2017,15,2
EUR,NH,NH,Russian Federation,2017-04-09,2017,15,0
EUR,NH,NH,Russian Federation,2017-04-16,2017,16,0
EUR,NH,NH,Russian Federation,2017-04-16,2017,16,2
EUR,NH,NH,Russian Federation,2017-04-23,2017,17,1
EUR,NH,NH,Russian Federation,2017-04-23,2017,17,0
EUR,NH,NH,Russian Federation,2017-04-30,2017,18,0
EUR,NH,NH,Russian Federation,2017-04-30,2017,18,0
EUR,NH,NH,Russian Federation,2017-05-07,2017,19,0
EUR,NH,NH,Russian Federation,2017-05-07,2017,19,1
EUR,NH,NH,Russian Federation,2017-05-14,2017,20,0
EUR,NH,NH,Russian Federation,2017-05-14,2017,20,0
EUR,NH,NH,Russian Federation,2017-05-21,2017,21,0
EUR,NH,NH,Russian Federation,2017-05-21,2017,21,0
EUR,NH,NH,Russian Federation,2017-05-28,2017,22,0
EUR,NH,NH,Russian Federation,2017-05-28,2017,22,0
EUR,NH,NH,Russian Federation,2017-06-04,2017,23,0
EUR,NH,NH,Russian Federation,2017-06-04,2017,23,0
EUR,NH,NH,Russian Federation,2017-06-11,2017,24,0
EUR,NH,NH,Russian Federation,2017-06-11,2017,24,1
EUR,NH,NH,Russian Federation,2017-06-18,2017,25,0
EUR,NH,NH,Russian Federation,2017-06-18,2017,25,0
EUR,NH,NH,Russian Federation,2017-06-25,2017,26,0
EUR,NH,NH,Russian Federation,2017-06-25,2017,26,1
EUR,NH,NH,Russian Federation,2017-07-02,2017,27,0
EUR,NH,NH,Russian Federation,2017-07-02,2017,27,0
EUR,NH,NH,Russian Federation,2017-07-09,2017,28,1
EUR,NH,NH,Russian Federation,2017-07-09,2017,28,0
EUR,NH,NH,Russian Federation,2017-07-16,2017,29,0
EUR,NH,NH,Russian Federation,2017-07-16,2017,29,0
EUR,NH,NH,Russian Federation,2017-07-23,2017,30,0
EUR,NH,NH,Russian Federation,2017-07-23,2017,30,0
EUR,NH,NH,Russian Federation,2017-07-30,2017,31,0
EUR,NH,NH,Russian Federation,2017-07-30,2017,31,0
EUR,NH,NH,Russian Federation,2017-08-06,2017,32,0
EUR,NH,NH,Russian Federation,2017-08-06,2017,32,0
EUR,NH,NH,Russian Federation,2017-08-13,2017,33,0
EUR,NH,NH,Russian Federation,2017-08-13,2017,33,0
EUR,NH,NH,Russian Federation,2017-08-20,2017,34,0
EUR,NH,NH,Russian Federation,2017-08-20,2017,34,0
EUR,NH,NH,Russian Federation,2017-08-27,2017,35,0
EUR,NH,NH,Russian Federation,2017-08-27,2017,35,0
EUR,NH,NH,Russian Federation,2017-09-03,2017,36,0
EUR,NH,NH,Russian Federation,2017-09-03,2017,36,0
EUR,NH,NH,Russian Federation,2017-09-10,2017,37,0
EUR,NH,NH,Russian Federation,2017-09-10,2017,37,0
EUR,NH,NH,Russian Federation,2017-09-17,2017,38,0
EUR,NH,NH,Russian Federation,2017-09-17,2017,38,0
EUR,NH,NH,Russian Federation,2017-09-24,2017,39,0
EUR,NH,NH,Russian Federation,2017-09-24,2017,39,0
EUR,NH,NH,Russian Federation,2017-10-01,2017,40,1
EUR,NH,NH,Russian Federation,2017-10-01,2017,40,0
EUR,NH,NH,Russian Federation,2017-10-08,2017,41,0
EUR,NH,NH,Russian Federation,2017-10-08,2017,41,0
EUR,NH,NH,Russian Federation,2017-10-15,2017,42,0
EUR,NH,NH,Russian Federation,2017-10-15,2017,42,1
EUR,NH,NH,Russian Federation,2017-10-22,2017,43,0
EUR,NH,NH,Russian Federation,2017-10-22,2017,43,4
EUR,NH,NH,Russian Federation,2017-10-29,2017,44,1
EUR,NH,NH,Russian Federation,2017-10-29,2017,44,0
EUR,NH,NH,Russian Federation,2017-11-05,2017,45,0
EUR,NH,NH,Russian Federation,2017-11-05,2017,45,1
EUR,NH,NH,Russian Federation,2017-11-12,2017,46,0
EUR,NH,NH,Russian Federation,2017-11-12,2017,46,3
EUR,NH,NH,Russian Federation,2017-11-19,2017,47,0
EUR,NH,NH,Russian Federation,2017-11-19,2017,47,2
EUR,NH,NH,Russian Federation,2017-11-26,2017,48,5
EUR,NH,NH,Russian Federation,2017-11-26,2017,48,0
EUR,NH,NH,Russian Federation,2017-12-03,2017,49,8
EUR,NH,NH,Russian Federation,2017-12-03,2017,49,0
EUR,NH,NH,Russian Federation,2017-12-10,2017,50,3
EUR,NH,NH,Russian Federation,2017-12-10,2017,50,0
EUR,NH,NH,Russian Federation,2017-12-17,2017,51,0
EUR,NH,NH,Russian Federation,2017-12-17,2017,51,6
EUR,NH,NH,Russian Federation,2017-12-24,2017,52,0
EUR,NH,NH,Russian Federation,2017-12-24,2017,52,2
EUR,NH,NH,Russian Federation,2017-12-31,2018,1,7
EUR,NH,NH,Russian Federation,2017-12-31,2018,1,0
EUR,NH,NH,Russian Federation,2018-01-07,2018,2,5
EUR,NH,NH,Russian Federation,2018-01-07,2018,2,0
EUR,NH,NH,Russian Federation,2018-01-14,2018,3,9
EUR,NH,NH,Russian Federation,2018-01-14,2018,3,0
EUR,NH,NH,Russian Federation,2018-01-21,2018,4,4
EUR,NH,NH,Russian Federation,2018-01-21,2018,4,0
EUR,NH,NH,Russian Federation,2018-01-28,2018,5,0
EUR,NH,NH,Russian Federation,2018-01-28,2018,5,7
EUR,NH,NH,Russian Federation,2018-02-04,2018,6,1
EUR,NH,NH,Russian Federation,2018-02-04,2018,6,0
EUR,NH,NH,Russian Federation,2018-02-11,2018,7,3
EUR,NH,NH,Russian Federation,2018-02-11,2018,7,0
EUR,NH,NH,Russian Federation,2018-02-18,2018,8,8
EUR,NH,NH,Russian Federation,2018-02-18,2018,8,0
EUR,NH,NH,Russian Federation,2018-02-25,2018,9,4
EUR,NH,NH,Russian Federation,2018-02-25,2018,9,0
EUR,NH,NH,Russian Federation,2018-03-04,2018,10,0
EUR,NH,NH,Russian Federation,2018-03-04,2018,10,5
EUR,NH,NH,Russian Federation,2018-03-11,2018,11,0
EUR,NH,NH,Russian Federation,2018-03-11,2018,11,5
EUR,NH,NH,Russian Federation,2018-03-18,2018,12,0
EUR,NH,NH,Russian Federation,2018-03-18,2018,12,2
EUR,NH,NH,Russian Federation,2018-03-25,2018,13,3
EUR,NH,NH,Russian Federation,2018-03-25,2018,13,0
EUR,NH,NH,Russian Federation,2018-04-01,2018,14,0
EUR,NH,NH,Russian Federation,2018-04-01,2018,14,0
EUR,NH,NH,Russian Federation,2018-04-08,2018,15,9
EUR,NH,NH,Russian Federation,2018-04-08,2018,15,0
EUR,NH,NH,Russian Federation,2018-04-15,2018,16,0
EUR,NH,NH,Russian Federation,2018-04-15,2018,16,2
EUR,NH,NH,Russian Federation,2018-04-22,2018,17,0
EUR,NH,NH,Russian Federation,2018-04-22,2018,17,2
EUR,NH,NH,Russian Federation,2018-04-29,2018,18,0
EUR,NH,NH,Russian Federation,2018-04-29,2018,18,1
EUR,NH,NH,Russian Federation,2018-05-06,2018,19,0
EUR,NH,NH,Russian Federation,2018-05-06,2018,19,0
EUR,NH,NH,Russian Federation,2018-05-13,2018,20,0
EUR,NH,NH,Russian Federation,2018-05-13,2018,20,0
EUR,NH,NH,Russian Federation,2018-05-20,2018,21,0
EUR,NH,NH,Russian Federation,2018-05-20,2018,21,0
EUR,NH,NH,Russian Federation,2018-05-27,2018,22,0
EUR,NH,NH,Russian Federation,2018-05-27,2018,22,0
EUR,NH,NH,Russian Federation,2018-06-03,2018,23,2
EUR,NH,NH,Russian Federation,2018-06-03,2018,23,0
EUR,NH,NH,Russian Federation,2018-06-10,2018,24,0
EUR,NH,NH,Russian Federation,2018-06-10,2018,24,2
EUR,NH,NH,Russian Federation,2018-06-17,2018,25,0
EUR,NH,NH,Russian Federation,2018-06-17,2018,25,1
EUR,NH,NH,Russian Federation,2018-06-24,2018,26,0
EUR,NH,NH,Russian Federation,2018-06-24,2018,26,1
EUR,NH,NH,Russian Federation,2018-07-01,2018,27,1
EUR,NH,NH,Russian Federation,2018-07-01,2018,27,0
EUR,NH,NH,Russian Federation,2018-07-08,2018,28,0
EUR,NH,NH,Russian Federation,2018-07-08,2018,28,0
EUR,NH,NH,Russian Federation,2018-07-15,2018,29,0
EUR,NH,NH,Russian Federation,2018-07-15,2018,29,0
EUR,NH,NH,Russian Federation,2018-07-22,2018,30,0
EUR,NH,NH,Russian Federation,2018-07-22,2018,30,0
EUR,NH,NH,Russian Federation,2018-07-29,2018,31,0
EUR,NH,NH,Russian Federation,2018-07-29,2018,31,2
EUR,NH,NH,Russian Federation,2018-08-05,2018,32,0
EUR,NH,NH,Russian Federation,2018-08-05,2018,32,0
EUR,NH,NH,Russian Federation,2018-08-12,2018,33,1
EUR,NH,NH,Russian Federation,2018-08-12,2018,33,0
EUR,NH,NH,Russian Federation,2018-08-19,2018,34,0
EUR,NH,NH,Russian Federation,2018-08-19,2018,34,0
EUR,NH,NH,Russian Federation,2018-08-26,2018,35,0
EUR,NH,NH,Russian Federation,2018-08-26,2018,35,0
EUR,NH,NH,Russian Federation,2018-09-02,2018,36,2
EUR,NH,NH,Russian Federation,2018-09-02,2018,36,0
EUR,NH,NH,Russian Federation,2018-09-09,2018,37,0
EUR,NH,NH,Russian Federation,2018-09-09,2018,37,3
EUR,NH,NH,Russian Federation,2018-09-16,2018,38,0
EUR,NH,NH,Russian Federation,2018-09-16,2018,38,3
EUR,NH,NH,Russian Federation,2018-09-23,2018,39,0
EUR,NH,NH,Russian Federation,2018-09-23,2018,39,2
EUR,NH,NH,Russian Federation,2018-09-30,2018,40,0
EUR,NH,NH,Russian Federation,2018-09-30,2018,40,0
EUR,NH,NH,Russian Federation,2018-10-07,2018,41,3
EUR,NH,NH,Russian Federation,2018-10-07,2018,41,0
EUR,NH,NH,Russian Federation,2018-10-14,2018,42,0
EUR,NH,NH,Russian Federation,2018-10-14,2018,42,0
EUR,NH,NH,Russian Federation,2018-10-21,2018,43,0
EUR,NH,NH,Russian Federation,2018-10-21,2018,43,1
